iter	Passed	Remaining
0	68	13678
1	71	7108
2	74	4896
3	77	3777
4	85	3322
5	88	2852
6	90	2507
7	94	2261
8	93	1974
9	95	1813
10	98	1684
11	100	1580
12	103	1495
13	106	1411
14	109	1347
15	112	1295
16	116	1250
17	119	1210
18	122	1162
19	125	1128
20	129	1101
21	132	1072
22	134	1037
23	138	1017
24	166	1166
25	171	1145
26	174	1119
27	177	1088
28	180	1062
29	182	1034
30	184	1006
31	186	980
32	189	957
33	192	937
34	195	921
35	197	900
36	200	884
37	203	866
38	205	849
39	208	832
40	210	816
41	212	800
42	215	785
43	217	772
44	220	758
45	223	747
46	225	734
47	228	724
48	230	711
49	233	699
50	236	690
51	238	678
52	240	667
53	243	657
54	245	647
55	248	639
56	252	632
57	254	623
58	256	613
59	259	606
60	261	595
61	263	586
62	265	578
63	268	570
64	270	562
65	273	554
66	275	546
67	277	539
68	280	531
69	281	523
70	284	516
71	286	509
72	288	502
73	291	495
74	293	489
75	295	482
76	298	477
77	301	471
78	304	465
79	307	460
80	310	455
81	313	450
82	316	446
83	319	441
84	322	435
85	324	430
86	325	423
87	328	418
88	331	413
89	334	408
90	337	404
91	340	399
92	343	394
93	345	389
94	348	384
95	350	379
96	353	374
97	355	370
98	357	364
99	359	359
100	362	354
101	364	350
102	367	345
103	369	341
104	372	336
105	374	332
106	378	328
107	380	323
108	382	319
109	384	314
110	386	310
111	389	305
112	391	301
113	394	297
114	396	293
115	399	289
116	401	285
117	403	280
118	406	276
119	409	273
120	412	269
121	414	264
122	417	261
123	419	257
124	421	253
125	424	249
126	426	245
127	429	241
128	431	237
129	433	233
130	436	229
131	438	226
132	441	222
133	444	218
134	447	215
135	449	211
136	452	208
137	454	204
138	457	200
139	460	197
140	463	193
141	465	190
142	468	186
143	470	182
144	472	179
145	475	175
146	478	172
147	481	169
148	484	165
149	487	162
150	490	159
151	492	155
152	495	152
153	498	148
154	501	145
155	505	142
156	508	139
157	511	135
158	513	132
159	516	129
160	518	125
161	521	122
162	523	118
163	526	115
164	528	112
165	532	109
166	534	105
167	537	102
168	539	98
169	541	95
170	543	92
171	545	88
172	548	85
173	551	82
174	554	79
175	556	75
176	559	72
177	562	69
178	565	66
179	567	63
180	570	59
181	572	56
182	575	53
183	578	50
184	581	47
185	584	43
186	586	40
187	589	37
188	591	34
189	593	31
190	595	28
191	598	24
192	600	21
193	602	18
194	604	15
195	606	12
196	608	9
197	610	6
198	611	3
199	613	0
